competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-09-26,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,UA Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,7375e9769477ca69d4b3aa06bbdca2ee,e7323ae630ac7677d6bc7c5edbfe6040,5,1
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-03,17:45:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off,U.C. Face Off,Groningen,f4a29fda5ec9060b7deeaa08a67af3b0,fde263cbe62c619c986c21f8396e5749,3,0
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-10,16:00:00,Amersfoort - Zielhorst,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,Quick Feet,Quick Feet,Groningen,c529f83cb2a5e5c413e281fda484171b,ae328dd8832a9397869997825313668a,4,5
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-24,10:45:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,HDM,HSK Floorball,Den Haag,fde263cbe62c619c986c21f8396e5749,8e25d3770321297631407dc9e78f231d,3,7
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-10-31,16:00:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Hot Shots 1,SUFV Hot Shots Nijmegen,Nijmegen,6585c49375551f4f1e49a172c0189a55,c9725eee9c6751199b016a0f464ee4b3,2,2
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2010-01-30,10:45:00,Universitair Sportcentrum,Nijmegen,Hot Shots 1,SUFV Hot Shots Nijmegen,Nijmegen,UFC Utrecht 1,UFC Utrecht,Utrecht,b9143c206c117f758c5c2dadf481596a,8e25d3770321297631407dc9e78f231d,1,4
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-11-21,17:45:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics,Sonics,Amersfoort,56d01f82d5e18271d4509ce89a1f2339,8c76698b23b8b80c24b7f12da58a9b5d,2,2
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2009-11-28,16:00:00,Lunetten Sporthal,Utrecht,Quick Feet,Quick Feet,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,3938be8f898a2ed42f2326e0eebc4929,7aaa2c7354f8adf523d4e88ea5ee66e7,5,5
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2010-01-16,16:00:00,Universitair Sportcentrum,Nijmegen,HDM,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,8a388ef2fadae3e726e956df8eeef2ce,40a7beedbce5fd91eb97464e109cb743,5,2
Dames Floorball competitie,2009,competitie,Voorronde 1e divisie,1,2010-03-06,17:45:00,Lunetten Sporthal,Utrecht,UC Face Off,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,923255d8be96824ac3d1c4efe3dafeef,467f3fea63bcfbeac686c849833c2d39,2,1
Dames Floorball competitie,2009,competitie,Play-offs degrad.,1,2010-05-08,14:15:00,Groningen - HIS Groningen,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,Hot Shots 1,SUFV Hot Shots Nijmegen,Nijmegen,06bd1f981bcec6deb2475c2ee558ba5b,5745302f93fd65efc5959178a5a55f0e,5,2
Dames Floorball competitie,2009,competitie,Play-offs degrad.,1,2010-05-15,16:00:00,Lunetten Sporthal,Utrecht,Quick Feet,Quick Feet,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,5745302f93fd65efc5959178a5a55f0e,06bd1f981bcec6deb2475c2ee558ba5b,2,7
Dames Floorball competitie,2009,competitie,Promotie/Degradatie,0,2010-05-29,14:15:00,Lunetten Sporthal,Utrecht,Messed Up,Messed Up,Enschede,UFC Utrecht 1,UFC Utrecht,Utrecht,253293abce6be87905b419caea944c5b,6a554bd91fac4c05baee7c505ad1a4b7,0,4
Dames NeFUB CUP,2009,beker,Poule 1,1,2009-09-20,11:55:00,Amersfoort - Schuilenburghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,Quick Feet,Quick Feet,Groningen,099720cf9154817e954ed8583adaa637,412e903f703a3fa5f5cdee761562d9be,4,0
Dames NeFUB CUP,2009,beker,Halve Finales beker,0,2010-03-20,12:15:00,Paperclip,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Hot Shots,SUFV Hot Shots Nijmegen,Nijmegen,7912c06dd382375ebc41e22eba18e171,eef748f0c9865eda6878af2e450f0315,6,5
Dames NeFUB CUP,2009,beker,Bekerfinale,0,2010-06-05,11:00:00,Amersfoort - Nieuwland,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics,Sonics,Amersfoort,7ac8130b52c6f6ce2b283cf7c0bba49d,8a388ef2fadae3e726e956df8eeef2ce,4,3
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-09-25,14:15:00,Groningen - HIS Groningen,Groningen,UC Face Off,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,a86fc0259b7a07b0548b11403f2d6c65,42c95a484c9258b0085025590ce4171c,3,2
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-10-02,13:15:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Hot Shots Nijmegen 1,SUFV Hot Shots Nijmegen,Nijmegen,d18d24182aa1598ea714358b12a49cb7,7d44fdb4cd369049c23112395b915226,1,3
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-10-09,17:45:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UFC Utrecht 2,UFC Utrecht,Utrecht,3ac3319d3042e6704211a5cbda7c3d83,f18862cbae5432688c4c7949d51476bf,8,2
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-11-13,12:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UFC Groningen,UFC Groningen,Groningen,fb955a0132f071e1c1cce50a92ab9d3d,93160a909e744239b0cd94401b6dea64,8,3
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2010-12-11,09:45:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics,Sonics,Amersfoort,7652402bc75dd6aae83926565d619198,ae328dd8832a9397869997825313668a,4,4
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2011-01-15,10:45:00,Sportcentrum Universiteit Twente,Enschede,Messed Up,Messed Up,Enschede,UFC Utrecht 1,UFC Utrecht,Utrecht,06bd1f981bcec6deb2475c2ee558ba5b,5745302f93fd65efc5959178a5a55f0e,1,3
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2011-01-29,10:45:00,Paperclip,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,89ac3fb01c9c9868ac919d1224294434,4f872822235cd482aa202edcd5c94ab2,1,8
Dames Floorball Competitie,2010,competitie,1e divisie voorronde,1,2011-02-12,12:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Hot Shots Nijmegen 2,SUFV Hot Shots Nijmegen,Nijmegen,f7c2c9eb77ce7d0a81deced70a53e9c4,9608e05bbec9f0e5009f1b795f221999,8,0
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-03-12,16:00:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off,U.C. Face Off,Groningen,d014313a40f5f929726d26ec44b48b73,0718aa4d3270cb522af971af2905ec0a,1,0
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-03-19,17:45:00,Lunetten Sporthal,Utrecht,Hot Shots Nijmegen 1,SUFV Hot Shots Nijmegen,Nijmegen,UFC Utrecht 1,UFC Utrecht,Utrecht,9608e05bbec9f0e5009f1b795f221999,ff6c0a290b7ebae41b211630d273b935,2,2
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-04-02,17:15:00,Tilburg - Sportcentrum Reeshof,Tilburg,UA Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,f4a29fda5ec9060b7deeaa08a67af3b0,d9e0377f24f45e4a6bc63d7e3fb2e8ec,3,3
Dames Floorball Competitie,2010,competitie,Kampioenspoule,1,2011-04-16,16:00:00,Lunetten Sporthal,Utrecht,FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,ae4f6115602559222b53072ce0b1d67b,b2e67eadaab94f59f9e1ce954ef5369e,5,2
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-12-17,13:15:00,Paperclip,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Messed Up,Messed Up,Enschede,a7f053b419777160f4764865dc8abfbf,c42386b84ff1ede5be28aa82d9b5d7dc,13,1
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-10-01,14:15:00,Paperclip,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UFC Utrecht 2,UFC Utrecht,Utrecht,1923d1e60f3d1ac9688e2e898ae49930,719c2ada2361afc2195888e8d4c28ad8,10,1
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-10-29,09:45:00,Lewenborg,Groningen,UFC Groningen,UFC Groningen,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,beb489d31ce3439639ccf5b8f5367f8e,a88045820e30e9b2f1e9559b5f735f92,1,12
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-11-12,16:00:00,Lunetten Sporthal,Utrecht,UA Sonics 2,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,8908a6c912a2709a3c2a0ac5da8c616d,88e8b58d76f179957102b2ac6ed61291,0,9
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-11-19,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,d682262b8646c2956a08428b3aa3c571,a86fc0259b7a07b0548b11403f2d6c65,0,3
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-02-18,14:15:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UC Face Off,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,467f3fea63bcfbeac686c849833c2d39,5e2176b3aa970e3a944ac7f7cf7f5178,6,4
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-01-21,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,7ac8130b52c6f6ce2b283cf7c0bba49d,b9143c206c117f758c5c2dadf481596a,2,3
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-03-03,16:00:00,Lunetten Sporthal,Utrecht,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,UFC Utrecht 1,UFC Utrecht,Utrecht,06bd1f981bcec6deb2475c2ee558ba5b,9608e05bbec9f0e5009f1b795f221999,1,6
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-03-31,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,045d8a65141bb3664cc1d6e65ee8ec5c,e8b586dae2dc4c685925de6bb697da45,4,6
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-04-07,10:45:00,Universitair Sportcentrum,Nijmegen,UFC Utrecht 1,UFC Utrecht,Utrecht,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,a4533cd1c4e13b6f7ad292e6d7abb34a,f8f211d05733c4e0fb5b903eb64f303a,3,5
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-04-21,17:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,eef748f0c9865eda6878af2e450f0315,36bb5f011f03d9896062c758fbe59a4a,3,7
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-05-12,16:00:00,Lewenborg,Groningen,UC Face Off,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,782356bc86084494e137781fc42fc97a,4f5e2a0009eb6d77af1a8cf402f668ee,4,2
Dames Floorball Competitie,2011,competitie,Play-offs eredivie dames,1,2012-05-26,11:00:00,Sporthallen Zuid,Amsterdam,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,7ac8130b52c6f6ce2b283cf7c0bba49d,06bd1f981bcec6deb2475c2ee558ba5b,4,1
Dames Floorball Competitie,2011,competitie,Play-offs eredivie dames,1,2012-05-27,09:45:00,Sporthallen Zuid,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,7ac8130b52c6f6ce2b283cf7c0bba49d,041b0d41cac9e4bae468c10a0d0c3e18,7,9
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-09-15,12:30:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 2,UFC Utrecht,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,a4533cd1c4e13b6f7ad292e6d7abb34a,7d44fdb4cd369049c23112395b915226,2,10
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-09-29,12:30:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,7d44fdb4cd369049c23112395b915226,384bf1cd70241d860239928266da7b5e,3,7
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-10-06,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,5e2176b3aa970e3a944ac7f7cf7f5178,7759438222ea3afbb225315e8649815c,5,3
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-10,12:30:00,Nijmegen - Meijhorst,Nijmegen,FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,47d4f1b75fb1cb6b3683ae567090ddad,1f4c8e76d4595df3dbf8795ab48d109b,8,2
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-17,14:15:00,Lewenborg,Groningen,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,c42386b84ff1ede5be28aa82d9b5d7dc,685ffe06078db81b98e0fdaa36460cfb,3,6
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-24,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 2,Sonics,Amersfoort,d33ba14dbc58b3924b0db7f1e718ff24,d8c2dd1b714a575abbda11f756c77eb9,15,1
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-12-01,14:15:00,Leidschendam - De Fluit,Leidschendam,UFC Utrecht 1,UFC Utrecht,Utrecht,HDM Falcons,HSK Floorball,Den Haag,041623a4c1f3b09fbc8337c64d982faf,8ebc2a80369a88144caefe214a73aed0,8,5
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-12-15,14:15:00,Universitair Sportcentrum,Nijmegen,UFC Groningen,UFC Groningen,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,7ac8130b52c6f6ce2b283cf7c0bba49d,dc862a8de4a2bcca095c554216a94c90,0,9
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2013-01-19,16:00:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 2,U.C. Face Off,Groningen,beb489d31ce3439639ccf5b8f5367f8e,e8b586dae2dc4c685925de6bb697da45,10,0
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-02-09,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,a86fc0259b7a07b0548b11403f2d6c65,3b8aff4f422864b873a9c726968110eb,5,5
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-03-23,12:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,06bd1f981bcec6deb2475c2ee558ba5b,ff743efb856e8dbeb30da69083cdb7b4,7,7
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-03-09,14:15:00,Leidschendam - De Fluit,Leidschendam,HDM Falcons,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,203a6531f2ea38f37bef001d49d5228a,041b0d41cac9e4bae468c10a0d0c3e18,5,6
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-04-13,16:00:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,5820c4a1d4b37a97ea6f7e8b38baaa30,3ac3319d3042e6704211a5cbda7c3d83,4,4
Dames Floorball Competitie,2012,competitie,Eredivisie Play-offs,1,2013-04-20,11:00:00,Amsterdam - BL46,Amsterdam,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,bc802ff6321cbbd91f6a779c128e384b,7652402bc75dd6aae83926565d619198,16,5
Dames Floorball Competitie,2012,competitie,Eredivisie Play-offs,1,2013-04-21,10:00:00,Amsterdam - BL46,Amsterdam,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,9608e05bbec9f0e5009f1b795f221999,7652402bc75dd6aae83926565d619198,8,2
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-09-21,10:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,041623a4c1f3b09fbc8337c64d982faf,8ebc2a80369a88144caefe214a73aed0,5,5
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-10-05,14:10:00,Paperclip,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,HSK,HSK Floorball,Den Haag,3a6613ad8d40e153354e4d82b94a615b,4ff1bd958a437329aac4ab4eedb3f45e,2,10
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-10-26,12:45:00,Paperclip,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,041b0d41cac9e4bae468c10a0d0c3e18,70cbdd226f9d43bd37dddfabf156a7cb,2,1
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-11-09,10:30:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,f8cd5ba4b8d3c0dade7c079fd87a3c3b,1f142fb403fbf225daab16e7619edff3,2,3
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-11-30,12:15:00,Lunetten Sporthal,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,FB Agents,Floorball Agents,Amsterdam,f168b49418df8cdc224f3921a00f886d,0d34d370cc4421dd1f137d38da9543d3,3,8
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2013-12-14,14:00:00,Lewenborg,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,5d30a3eca945d8eb914813f87b2a9689,c42386b84ff1ede5be28aa82d9b5d7dc,6,8
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-01-04,16:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,94ee58db40b3bb140a1e2afb65748fa1,9608e05bbec9f0e5009f1b795f221999,3,9
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-01-18,10:30:00,Roemer Visscher College,Den Haag,HSK,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,c8814c0df7ed6250568e36ad51010cde,72a7d561ab6cd29fbddd3565ad778de0,6,6
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-03-08,11:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,c9725eee9c6751199b016a0f464ee4b3,492b1e577d5fd5add892c854adf60569,2,6
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-03-15,10:30:00,Lewenborg,Groningen,UC Face Off 1,U.C. Face Off,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,a7c03e28b1abf335193b3b20f3282837,84aa169e9435c767a39d0295cc0f2df4,2,2
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-03-29,14:40:00,Lunetten Sporthal,Utrecht,HSK,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,d2a14989ad52baf47a7498ee33e4ab09,492b1e577d5fd5add892c854adf60569,2,7
Dames Floorball Competitie,2013,competitie,Eredivisie,1,2014-04-12,13:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,3b8aff4f422864b873a9c726968110eb,d1c255455b1a263ddbe344e18f837843,2,2
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-10-04,16:30:00,Roemer Visscher College,Den Haag,HSK,HSK Floorball,Den Haag,UFC Utrecht 1,UFC Utrecht,Utrecht,4df967cb47517e3e8d46b5b4ecddbe4d,afcf89571b9759b1cb6193111f08763e,6,2
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-09-20,10:15:00,Triangel,Lent (Nijmegen),UFC Utrecht 1,UFC Utrecht,Utrecht,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,6e125fec181ed03e1532d994a2783b85,6726dc565f3cebd78423a258d2d5a2cd,9,1
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-10-11,10:45:00,Bokkeduinen,Amersfoort,Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,4f872822235cd482aa202edcd5c94ab2,b6329eee7490b370812da813393a8f38,4,5
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-10-25,10:45:00,Paperclip,Utrecht,FB Agents,Floorball Agents,Amsterdam,UFC Utrecht 1,UFC Utrecht,Utrecht,685ffe06078db81b98e0fdaa36460cfb,47d4f1b75fb1cb6b3683ae567090ddad,4,5
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-11-08,10:45:00,Groningen - sportcentrum RUG & HG (ACLO) dubbel,Groningen,UFC Utrecht 1,UFC Utrecht,Utrecht,UC Face Off 1,U.C. Face Off,Groningen,47d4f1b75fb1cb6b3683ae567090ddad,47d4f1b75fb1cb6b3683ae567090ddad,0,5
Dames Floorball Competitie,2014,competitie,Eredivisie,0,2014-11-22,17:45:00,Triangel,Lent (Nijmegen),Floorball Flames,Floorball Flames Nijmegen,Nijmegen,UFC Utrecht 1,UFC Utrecht,Utrecht,a7c03e28b1abf335193b3b20f3282837,9c840d96f83bca65bb2c88ebe4bde061,2,10
